год,Дата,Месяц,Название,Формат,Тег (курс),Линейка,Подписчики,Охват Факт,Расход,CPC,СTR,Визиты Факт,С1 Факт,Заявки Факт,С2 Факт,Оплаты Факт,Доход,CPL,ROMI,Ссылка на размещение,,,
2020,18.07.2020,июль,ЛАРИН,Интеграция,DAPR,Аналитика,2 150 000,79 000,р.103 500,р.271,"0,48%",382,"2,36%",9,"0,0%",0,0,р.11 500,-100%,https://www.youtube.com/watch?v=-BPIFfzgXkE&t=359s,,,
2020,19.07.2020,июль,лидин,Интеграция,DАPR,Аналитика,357 000,168 000,65 000,р.183,"0,21%",355,"3,94%",14,"7,1%",1,2,р.4 643,41%,https://www.youtube.com/watch?v=07vrpv8T0Hc&t=344s,,,
2020,19.07.2020,июль,Макарена,Интеграция,SF,SF,234 000,455 000,р.165 000,р.693,"0,05%",238,"2,52%",6,"0,0%",0,0,р.27 500,-100%,https://www.youtube.com/watch?v=Eu1XjYZJDRk&t=1216s,,,
2020,20.07.2020,июль,Victoria Borodina,Интеграция,DEVOPS,Кодинг,104 000,10 000,р.25 000,р.121,"2,06%",206,"0,49%",1,"0,0%",0,0,,,https://www.youtube.com/watch?v=Ll0lY0QCvW8&t=11s,,,
2020,20.07.2020,июль,cut the crap,Интеграция,SF,SF,1480000,394 000,р.204 301,р.241,"0,22%",848,"2,36%",20,"20,0%",4,4,р.10 215,38%,https://www.youtube.com/watch?v=qRdJM4-3EHs&feature=youtu.be,,,
2020,21.07.2020,июль,Кик Обзор,Интеграция,PHPDEV,Кодинг,400 000,248 000,р.40 000,р.79,"0,20%",506,"2,77%",14,"7,1%",1,2,р.2 857,38%,https://www.youtube.com/watch?v=XTDYKe6YzpE,,,
2020,21.07.2020,июль,Nelli,Интеграция, PM,Менеджмент,316 009,54 000,103 500,р.368,"0,52%",281,"2,49%",7,"0,0%",0,0,р.14 786,,https://www.youtube.com/watch?v=TjrmHV-I1go&t=186s,,,
2020,22.07.2020,июль,Daniil Gerasimov,Интеграция,JAVA,Кодинг,192 000,51 000,20 000,р.140,"0,28%",143,"1,40%",2,"0,0%",0,0,р.10 000,-100%,https://www.youtube.com/watch?v=WLYzH1HTznc&feature=youtu.be,,,
2020,22.07.2020,июль,еще не познер,Интеграция,DAPR,Аналитика,332 000,294 000,р.250 000,р.229,"0,37%",1091,"6,69%",73,"5,5%",4,4,р.3 425,18%,https://www.youtube.com/watch?v=hmRgAosNVHA&t=627s,,,
2020,23.07.2020,июль,Sveta_Economy,Интеграция,DAPR,Аналитика,81 000,10 000,р.10 600,р.171,"0,62%",62,"4,84%",3,"0,0%",0,0,р.3 533,,https://www.youtube.com/watch?v=eGX6R3nlMBE,,,
2020,23.07.2020,июль,Редакция,Интеграция,DSPR,Data Science Аналитика,1 432 000,990 000,р.580 000,р.407,"0,14%",1424,"2,74%",39,"15,4%",6,7,р.14 872,10%,https://www.youtube.com/watch?v=OxktAOsAPkA&t=127s,,,
2020,24.07.2020,июль,Варламов,Интеграция,WBDS GRAF MEDIA,Дизайн,1 630 000,880 000,р.300 000,р.377,"0,09%",796,"1,76%",14,"35,7%",5,4,р.21 429,0%,https://www.youtube.com/watch?v=rsVskm_G3gM&t=111s,,,
2020,25.07.2020,июль,Notebook-31,Интеграция,IOS,Кодинг,236 000,118 000,р.30 000,р.256,"0,10%",117,"8,55%",10,"0,0%",0,0,р.3 000,,https://www.youtube.com/watch?v=VbBRH4dCl54&feature=youtu.be,,,
2020,26.07.2020,июль,Alex Blare,Интеграция,QAP,Кодинг,401 000,357 000,р.77 000,р.278,"0,08%",277,"5,78%",16,"0,0%",0,0,р.4 813,,https://www.youtube.com/watch?v=EvNcSfFBM_0,,,
2020,27.07.2020,июль,Senior Software Vlogger,Интеграция,FJS,Кодинг,80 000,17 600,р.25 000,р.234,"0,61%",107,"2,80%",3,"0,0%",0,0,р.8 333,,https://www.youtube.com/watch?v=uPP8ixi_71w,,,
2020,28.07.2020,июль,simple run,Интеграция,DAPR,Аналитика,188 000,22 200,р.70 000,р.603,"0,52%",116,"3,45%",4,"0,0%",0,0,р.17 500,,https://www.youtube.com/watch?v=3qcLDGCoM4Q,,,
2020,29.07.2020,июль,Еще не вечер,Интеграция,DSPR,Data Science,1 300 000,196 000,р.250 000,р.2 907,"0,04%",86,"0,00%",3,"0,0%",0,0,р.83 333,,https://www.youtube.com/watch?v=5q6tIa54bZI&list=PLr0vtm6PM7z1KEyJNyGgTjb3gNY5nO1BY,,,
2020,30.07.2020,июль,Наука 2 0,Интеграция,DSPR,Кодинг,1 690 000,68000,р.300 000,р.3 371,"0,13%",89,"2,25%",2,"0,0%",0,0,р.150 000,,https://www.youtube.com/watch?v=hycynLxqGLA&feature=youtu.be&t=399,,,
2020,31.07.2020,июль,Хауди Хо,Интеграция,ANDR,Кодинг,842 000,125000,р.80 000,р.168,"0,38%",476,"2,73%",13,"0,0%",0,0,р.6 154,,https://www.youtube.com/watch?v=ASd5QsE46nk,,,
2020,01.08.2020,август,Асафьев,Интеграция,QAP,Кодинг,152 000,256000,р.60 000,р.55,"0,43%",1092,"5,59%",61,"14,8%",9,6,р.984,725%,https://www.youtube.com/watch?v=S2K1EOBSydo,,,
2020,09.08.2020,август,Dasha Snail,Интеграция, GRAPH,Дизайн,131 000,15 620,р.11 000,р.61,"1,16%",181,"1,66%",3,"0,0%",0,0,р.3 667,,https://www.youtube.com/watch?v=FTtrA4sKVEk,,,
2020,09.08.2020,август,Кик Обзор,Интеграция,DST,Data Science,400 000,249 463,р.55 200,р.134,"0,16%",411,"1,22%",5,"20,0%",1,2,р.11 040,11%,https://www.youtube.com/watch?v=zgWK1TRK8LE&feature=youtu.be,,,
2020,11.08.2020,август,богуславская,Интеграция, GRAPH,Дизайн,92 000,42 964,р.15 000,р.98,"0,36%",153,"3,27%",5,"0,0%",0,0,р.3 000,,https://www.youtube.com/watch?v=2JfySjvotAw,,,
2020,11.08.2020,август,Хочу Домой,Интеграция,MOTION,Дизайн,705 000,62 579,р.140 000,р.252,"0,89%",556,"0,90%",5,"20,0%",1,3,р.28 000,-20%,https://www.youtube.com/watch?v=PslP9UMd7OM&feature=youtu.be,,,
2020,12.08.2020,август,Прыгунов,Интеграция,QAP,Кодинг,29 300,56 445,р.20 000,р.106,"0,33%",188,"5,32%",10,"10,0%",1,1,р.2 000,148%,https://www.youtube.com/watch?v=DvSM7IKF4AI&feature=youtu.be,,,
2020,12.08.2020,август,this is хорошо,Интеграция,PWS,Кодинг,5 750 000,313 672,р.132 000,р.134,"0,31%",983,"4,48%",44,"13,6%",6,5,р.3 000,198%,https://www.youtube.com/watch?v=abnqH743JJc,,,
2020,12.08.2020,август,А поговорить,Интеграция, GRAPH,Дизайн,1 210 000,620 261,р.300 000,р.368,"0,13%",816,"2,70%",22,"27,3%",6,6,р.13 636,53%,https://www.youtube.com/watch?v=0kBIdkDQNz0&t=1857s,,,
2020,13.08.2020,август,Andro-news.com,Интеграция,ANDR,Кодинг,1 400 000,283 537,р.77 000,р.45,"0,60%",1700,"1,00%",17,"0,0%",0,0,р.4 529,,https://www.youtube.com/watch?v=sEddvA5P9WM,,,
2020,13.08.2020,август,Dmitry Puchkov,Интеграция,DST,Data Science,1 900 000,180 233,р.80 000,р.29,"1,53%",2751,"3,24%",89,"29,2%",26,9,р.899,3063%,https://www.youtube.com/watch?v=BOlABpTim2s&feature=youtu.be&t=749,,,
2020,13.08.2020,август,Космос Просто,Интеграция,QAP,Кодинг,418 000,176 101,р.80 750,р.253,"0,18%",319,"5,02%",16,"25,0%",4,3,р.5 047,126%,https://www.youtube.com/watch?v=U2BzFK9bRdU&feature=youtu.be&t=85,,,
2020,13.08.2020,август,Redroom,Интеграция,QAP,Кодинг,380 000,131 368,р.95 000,р.151,"0,48%",629,"3,97%",25,"20,0%",5,4,р.3 800,194%,https://www.youtube.com/watch?v=LwriQDZtQno&feature=youtu.be&t=371,,,
2020,13.08.2020,август,Максим Кац,Интеграция,PM,Менеджмент,415 000,379 232,р.95 000,р.201,"0,12%",473,"3,81%",18,"5,6%",1,2,р.5 278,-11%,https://www.youtube.com/watch?v=tg3kokASuXs&feature=youtu.be&t=345,,,
2020,15.08.2020,август,Кик Обзор,Интеграция,WBDS,Дизайн,980 000,270 862,р.77 000,р.187,"0,15%",411,"1,46%",6,"16,7%",1,2,р.12 833,-7%,https://www.youtube.com/watch?v=hn54j74WeKA&feature=youtu.be,,,
2020,15.08.2020,август,Wylsa,Интеграция,DSPR,Data Science,1 410 000,452 778,р.250 000,р.427,"0,13%",585,"4,44%",26,"0,0%",0,0,р.9 615,,https://www.youtube.com/watch?v=q8ojg-NqACE&t=60s,,,
2020,16.08.2020,август,Marina Mogilko,Интеграция,DAPR,Аналитика,1 200 000,84000,р.290 000,р.356,"0,97%",815,"6,63%",54,"11,1%",6,6,р.5 370,72%,https://www.youtube.com/watch?v=JdpEc9JnjGQ&feature=youtu.be,,,
2020,16.08.2020,август,Редакция,Интеграция,DAPR,Аналитика,9 830 000,1 486 873,р.530 000,р.265,"0,13%",2000,"7,00%",140,"9,3%",13,8,р.3 786,91%,https://www.youtube.com/watch?v=vAhlHjUKLSA,,,
2020,17.08.2020,август,Максим Кац,Интеграция,SF,SF,427 000,144 816,р.95 000,р.185,"0,35%",514,"4,86%",25,"28,0%",7,7,р.3 800,427%,https://www.youtube.com/watch?v=BhOUWzNSq3I&t=414s,,,
2020,18.08.2020,август,Петенька Планетка,Интеграция,IOS,Кодинг,281 000,222 606,р.28 800,р.212,"0,06%",136,"5,15%",7,"0,0%",0,0,р.4 114,-100%,https://www.youtube.com/watch?v=4-T0WHVtc-Y,,,
2020,18.08.2020,август,Хауди Хо,Интеграция,DST,Data Science,1 310 000,150 526,р.80 000,р.97,"0,55%",826,"4,00%",33,"0,0%",0,0,р.2 424,-100%,https://www.youtube.com/watch?v=YdmKGnmr_Y0&feature=youtu.be,,,
2020,19.08.2020,август,Андронет,Интеграция,ANDR,Кодинг,419 000,24 541,р.10 638,р.266,"0,16%",40,"12,50%",5,"0,0%",0,0,р.2 128,-100%,https://www.youtube.com/watch?v=QtgdZC48dnM,,,
2020,20.08.2020,август,АйТи Борода,Интеграция,UXS,Кодинг,170 000,21 132,р.81 000,р.240,"1,59%",337,"3,86%",13,"15,4%",2,0,р.6 231,-100%,https://www.youtube.com/watch?v=hZDop4ZP0pw&feature=youtu.be,,,
2020,20.08.2020,август,Gob,Интеграция,SF,SF,842 000,165 618,р.159 000,р.609,"0,16%",261,"1,15%",3,"33,3%",1,1,р.53 000,-76%,https://www.youtube.com/watch?v=7rIrfYG8H2c&t=7s,,,
2020,21.08.2020,август,Нарица,Интеграция,GAME DEV,Кодинг,282 000,314 030,р.150 000,р.238,"0,20%",629,"2,07%",13,"0,0%",0,0,р.11 538,,https://www.youtube.com/watch?v=a4xZGZiFMi8,,,
2020,22.08.2020,август,Денис Чужой,Интеграция,IOS,Кодинг,175 000,128 558,р.60 000,р.131,"0,36%",458,"3,28%",15,"26,7%",4,5,р.4 000,485%,https://www.youtube.com/watch?v=__Ptxpzyw9Y,,,
2020,22.08.2020,август,808,Интеграция,DSPR,Data Science,2 320 000,548200,р.307 400,р.187,"0,30%",1645,"2,98%",49,"4,1%",2,4,р.6 273,-33%,https://www.youtube.com/watch?v=k3iiLKbqjaw&feature=youtu.be,,,
2020,22.08.2020,август,Ксения Собчак,Интеграция,DAPR,Аналитика,1 600 000,1 512 913,р.400 000,р.368,"0,07%",1087,"10,76%",117,"3,4%",4,4,р.3 419,-27%,https://www.youtube.com/watch?v=ZjwYUtPETHQ,,,
2020,22.08.2020,август,LABELCOM,Интеграция,SF,SF,3 800 000,1049934,р.650 000,р.410,"0,15%",1586,"1,39%",22,"13,6%",3,3,р.29 545,-72%,https://www.youtube.com/watch?v=jVdtKlHgmZ4&feature=youtu.be,,,
2020,23.08.2020,август,Асафьев,Интеграция,PWS,Кодинг,152 000,226 000,р.60 000,р.96,"0,28%",623,"2,73%",17,"17,6%",3,3,р.3 529,124%,https://www.youtube.com/watch?v=PImFoHQ7KoI&feature=youtu.be,,,
2020,23.08.2020,август,Варламов,Интеграция,DAPR,Аналитика,1 740 000,584 000,р.380 000,р.413,"0,16%",920,"5,76%",53,"11,3%",6,6,р.7 170,20%,https://youtu.be/akrMgDQRB2Y?t=1234,,,
2020,25.08.2020,август,Хауди Хо,Интеграция,ANDR,Кодинг,1 310 000,199 000,р.80 000,р.151,"0,27%",529,"3,02%",16,"0,0%",0,0,р.5 000,-100%,https://www.youtube.com/watch?v=JJlKPi5ewZQ&feature=youtu.be,,,
